127.0.0.1 - - [21/Jun/2019:14:42:38 +0800] "GET / HTTP/1.1" 404 1074
172.31.84.78 - - [21/Jun/2019:16:28:53 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 583
172.31.84.78 - - [21/Jun/2019:19:49:11 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:19:49:12 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 583
172.31.84.78 - - [21/Jun/2019:19:49:42 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:19:49:43 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 583
172.31.84.78 - - [21/Jun/2019:19:51:01 +0800] "GET /Server/servlet/Loginservlet?password=&username=qw HTTP/1.1" 200 60
172.31.84.78 - - [21/Jun/2019:19:51:03 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:19:51:05 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 583
172.31.84.78 - - [21/Jun/2019:19:58:45 +0800] "GET /Server/servlet/Loginservlet?password=&username= HTTP/1.1" 200 60
172.31.84.78 - - [21/Jun/2019:20:02:39 +0800] "GET /Server/servlet/Loginservlet?password=&username= HTTP/1.1" 200 60
172.31.84.78 - - [21/Jun/2019:20:02:40 +0800] "GET /Server/servlet/RegisterServlet?password=&username= HTTP/1.1" 200 -
172.31.84.78 - - [21/Jun/2019:20:04:11 +0800] "GET /Server/servlet/Loginservlet?password=&username= HTTP/1.1" 200 60
172.31.84.78 - - [21/Jun/2019:20:04:14 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:20:04:15 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 583
172.31.84.78 - - [21/Jun/2019:20:17:17 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:20:17:18 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 583
172.31.84.78 - - [21/Jun/2019:20:17:57 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:20:17:58 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 583
172.31.84.78 - - [21/Jun/2019:20:20:26 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:20:20:28 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 583
172.31.84.78 - - [21/Jun/2019:20:21:16 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:20:21:17 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 589
172.31.84.78 - - [21/Jun/2019:20:22:57 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:20:22:58 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 589
172.31.84.78 - - [21/Jun/2019:20:29:44 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:20:29:45 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 589
172.31.84.78 - - [21/Jun/2019:20:32:05 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:20:32:06 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 589
172.31.84.78 - - [21/Jun/2019:20:41:35 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:20:41:36 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 589
172.31.84.78 - - [21/Jun/2019:20:42:19 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:20:42:20 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 589
172.31.84.78 - - [21/Jun/2019:20:44:16 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:20:44:17 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 589
172.31.84.78 - - [21/Jun/2019:20:44:33 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:20:45:12 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:20:45:13 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 589
172.31.84.78 - - [21/Jun/2019:22:47:03 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:22:47:04 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 589
172.31.84.78 - - [21/Jun/2019:22:47:29 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:22:53:30 +0800] "GET /Server/servlet/Loginservlet?password=&username= HTTP/1.1" 200 60
172.31.84.78 - - [21/Jun/2019:22:53:31 +0800] "GET /Server/servlet/Loginservlet?password=&username= HTTP/1.1" 200 60
172.31.84.78 - - [21/Jun/2019:22:53:31 +0800] "GET /Server/servlet/Loginservlet?password=&username= HTTP/1.1" 200 60
172.31.84.78 - - [21/Jun/2019:22:55:41 +0800] "GET /Server/servlet/RegisterServlet?password=&username= HTTP/1.1" 200 -
172.31.84.78 - - [21/Jun/2019:22:55:42 +0800] "GET /Server/servlet/RegisterServlet?password=&username= HTTP/1.1" 200 -
172.31.84.78 - - [21/Jun/2019:22:55:43 +0800] "GET /Server/servlet/RegisterServlet?password=&username= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:22:56:28 +0800] "GET /Server/servlet/Loginservlet HTTP/1.1" 200 60
172.31.84.78 - - [21/Jun/2019:22:56:34 +0800] "GET /Server/servlet/RegisterServlet?password=&username= HTTP/1.1" 200 -
172.31.84.78 - - [21/Jun/2019:22:56:45 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
172.31.84.78 - - [21/Jun/2019:22:56:45 +0800] "GET /Server/servlet/RegisterServlet?password=&username= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:22:56:49 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
172.31.84.78 - - [21/Jun/2019:22:56:57 +0800] "GET /Server/servlet/RegisterServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:22:56:59 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
172.31.84.78 - - [21/Jun/2019:22:57:12 +0800] "GET /Server/servlet/RegisterServlet?password=3233&username=re HTTP/1.1" 200 86
172.31.84.78 - - [21/Jun/2019:22:57:29 +0800] "GET /Server/servlet/RegisterServlet?password=123&username=qw HTTP/1.1" 200 56
172.31.84.78 - - [21/Jun/2019:23:05:15 +0800] "GET /Server/servlet/RegisterServlet?password=&username= HTTP/1.1" 200 -
172.31.84.78 - - [21/Jun/2019:23:05:48 +0800] "GET /Server/servlet/RegisterServlet?password=&username= HTTP/1.1" 200 -
172.31.84.78 - - [21/Jun/2019:23:05:49 +0800] "GET /Server/servlet/RegisterServlet?password=&username= HTTP/1.1" 200 -
172.31.84.78 - - [21/Jun/2019:23:06:01 +0800] "GET /Server/servlet/Loginservlet?password=56767&username=drte HTTP/1.1" 200 60
172.31.84.78 - - [21/Jun/2019:23:06:05 +0800] "GET /Server/servlet/RegisterServlet?password=56767&username=drte HTTP/1.1" 200 89
172.31.84.78 - - [21/Jun/2019:23:19:15 +0800] "GET /Server/servlet/Loginservlet?password=&username= HTTP/1.1" 200 60
172.31.84.78 - - [21/Jun/2019:23:21:23 +0800] "GET /Server/servlet/RegisterServlet?password=&username= HTTP/1.1" 200 -
172.31.84.78 - - [21/Jun/2019:23:24:19 +0800] "GET /Server/servlet/RegisterServlet?password=&username= HTTP/1.1" 200 -
172.31.84.78 - - [21/Jun/2019:23:27:39 +0800] "GET /Server/servlet/RegisterServlet?password=&username= HTTP/1.1" 200 -
172.31.84.78 - - [21/Jun/2019:23:27:41 +0800] "GET /Server/servlet/RegisterServlet?password=&username= HTTP/1.1" 200 -
172.31.84.78 - - [21/Jun/2019:23:27:42 +0800] "GET /Server/servlet/RegisterServlet?password=&username= HTTP/1.1" 200 -
172.31.84.78 - - [21/Jun/2019:23:28:03 +0800] "GET /Server/servlet/RegisterServlet?password=&username= HTTP/1.1" 200 -
172.31.84.78 - - [21/Jun/2019:23:28:06 +0800] "GET /Server/servlet/RegisterServlet?password=&username= HTTP/1.1" 200 -
172.31.84.78 - - [21/Jun/2019:23:28:07 +0800] "GET /Server/servlet/RegisterServlet?password=&username= HTTP/1.1" 200 -
172.31.84.78 - - [21/Jun/2019:23:30:42 +0800] "GET /Server/servlet/RegisterServlet?password=56&username=ss HTTP/1.1" 200 84
172.31.84.78 - - [21/Jun/2019:23:33:11 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:23:33:12 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 589
172.31.84.78 - - [21/Jun/2019:23:33:49 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 589
172.31.84.78 - - [21/Jun/2019:23:34:10 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:23:34:11 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 589
172.31.84.78 - - [21/Jun/2019:23:34:51 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 589
172.31.84.78 - - [21/Jun/2019:23:35:32 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 589
172.31.84.78 - - [21/Jun/2019:23:36:38 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 589
172.31.84.78 - - [21/Jun/2019:23:51:31 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:23:51:32 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 589
172.31.84.78 - - [21/Jun/2019:23:54:09 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:23:54:11 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 613
172.31.84.78 - - [21/Jun/2019:23:58:44 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:23:58:45 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 613
172.31.84.78 - - [21/Jun/2019:23:59:53 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:23:59:57 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 613
